modelo,tipo,imagen_idx,paso,prob
ViT,deletion,2,15,0.5024033188819885
ViT,deletion,2,16,0.5018130540847778
ViT,deletion,2,17,0.46169084310531616
ViT,deletion,2,18,0.4362679123878479
ViT,deletion,2,19,0.42365404963493347
ViT,deletion,2,20,0.3497858941555023
ViT,deletion,2,21,0.3894732892513275
ViT,deletion,2,22,0.38458847999572754
ViT,deletion,2,23,0.40606385469436646
ViT,deletion,2,24,0.43836936354637146
ViT,deletion,2,25,0.4156472980976105
ViT,deletion,2,26,0.38820287585258484
ViT,deletion,2,27,0.3369588851928711
ViT,deletion,2,28,0.33272236585617065
ViT,deletion,2,29,0.3485446274280548
ViT,deletion,2,30,0.3688497841358185
ViT,deletion,2,31,0.36562690138816833
ViT,deletion,2,32,0.33083733916282654
ViT,deletion,2,33,0.3243861794471741
ViT,deletion,2,34,0.31148403882980347
ViT,deletion,2,35,0.3131827414035797
ViT,deletion,2,36,0.37593165040016174
ViT,deletion,2,37,0.2946614921092987
ViT,deletion,2,38,0.2516001760959625
ViT,deletion,2,39,0.2911522388458252
ViT,deletion,2,40,0.25190550088882446
ViT,deletion,2,41,0.2925814688205719
ViT,deletion,2,42,0.31752902269363403
ViT,deletion,2,43,0.28369709849357605
ViT,deletion,2,44,0.31358784437179565
ViT,deletion,2,45,0.4273237884044647
ViT,deletion,2,46,0.41667672991752625
ViT,deletion,2,47,0.4918672740459442
ViT,deletion,2,48,0.4115443229675293
ViT,deletion,2,49,0.5761393308639526
ViT,deletion,3,0,0.7363792061805725
ViT,deletion,3,1,0.7447928190231323
ViT,deletion,3,2,0.7178746461868286
ViT,deletion,3,3,0.7182637453079224
ViT,deletion,3,4,0.7232455611228943
ViT,deletion,3,5,0.7270359992980957
ViT,deletion,3,6,0.7291563153266907
ViT,deletion,3,7,0.7281563878059387
ViT,deletion,3,8,0.733450174331665
ViT,deletion,3,9,0.7399130463600159
ViT,deletion,3,10,0.7134243845939636
ViT,deletion,3,11,0.7075817584991455
ViT,deletion,3,12,0.6951836943626404
ViT,deletion,3,13,0.6532339453697205
ViT,deletion,3,14,0.6481983065605164
ViT,deletion,3,15,0.6427283883094788
ViT,deletion,3,16,0.6556768417358398
ViT,deletion,3,17,0.6441753506660461
ViT,deletion,3,18,0.6803035140037537
ViT,deletion,3,19,0.7000643610954285
ViT,deletion,3,20,0.6626170873641968
ViT,deletion,3,21,0.6813727021217346
ViT,deletion,3,22,0.6800661683082581
ViT,deletion,3,23,0.7463500499725342
ViT,deletion,3,24,0.7303470969200134
ViT,deletion,3,25,0.7322669625282288
ViT,deletion,3,26,0.7409980893135071
ViT,deletion,3,27,0.7230483889579773
ViT,deletion,3,28,0.7155660390853882
ViT,deletion,3,29,0.7644229531288147
ViT,deletion,3,30,0.7478298544883728
ViT,deletion,3,31,0.721304178237915
ViT,deletion,3,32,0.7354188561439514
ViT,deletion,3,33,0.7556227445602417
ViT,deletion,3,34,0.7425351142883301
ViT,deletion,3,35,0.7328643798828125
ViT,deletion,3,36,0.655010461807251
ViT,deletion,3,37,0.7117895483970642
ViT,deletion,3,38,0.7604836821556091
ViT,deletion,3,39,0.7130087018013
ViT,deletion,3,40,0.7749427556991577
ViT,deletion,3,41,0.714566171169281
ViT,deletion,3,42,0.7637752294540405
ViT,deletion,3,43,0.7503775954246521
ViT,deletion,3,44,0.7569165825843811
ViT,deletion,3,45,0.7210105657577515
ViT,deletion,3,46,0.6757535934448242
ViT,deletion,3,47,0.6880941390991211
ViT,deletion,3,48,0.776155412197113
ViT,deletion,3,49,0.4121799170970917
ViT,insertion,0,0,0.562684178352356
ViT,insertion,0,1,0.3257160186767578
ViT,insertion,0,2,0.5815538763999939
ViT,insertion,0,3,0.4047335982322693
ViT,insertion,0,4,0.3325567841529846
ViT,insertion,0,5,0.329447865486145
ViT,insertion,0,6,0.3995257318019867
ViT,insertion,0,7,0.31191393733024597
ViT,insertion,0,8,0.33183184266090393
ViT,insertion,0,9,0.3775031864643097
ViT,insertion,0,10,0.33137086033821106
ViT,insertion,0,11,0.29392117261886597
ViT,insertion,0,12,0.4046791195869446
ViT,insertion,0,13,0.3001505434513092
ViT,insertion,0,14,0.368419885635376
ViT,insertion,0,15,0.2786900997161865
ViT,insertion,0,16,0.2525044083595276
ViT,insertion,0,17,0.2770005464553833
ViT,insertion,0,18,0.3404454290866852
ViT,insertion,0,19,0.31350404024124146
ViT,insertion,0,20,0.31081897020339966
ViT,insertion,0,21,0.3670426905155182
ViT,insertion,0,22,0.4346785247325897
ViT,insertion,0,23,0.4305136799812317
ViT,insertion,0,24,0.4721236526966095
ViT,insertion,0,25,0.43641752004623413
ViT,insertion,0,26,0.43973079323768616
ViT,insertion,0,27,0.4424983859062195
ViT,insertion,0,28,0.4112626314163208
ViT,insertion,0,29,0.38672688603401184
ViT,insertion,0,30,0.42352235317230225
ViT,insertion,0,31,0.4257128834724426
ViT,insertion,0,32,0.3887946307659149
ViT,insertion,0,33,0.4162468910217285
ViT,insertion,0,34,0.3892744779586792
ViT,insertion,0,35,0.3691735863685608
ViT,insertion,0,36,0.3898289203643799
ViT,insertion,0,37,0.40831494331359863
ViT,insertion,0,38,0.39824235439300537
ViT,insertion,0,39,0.42948460578918457
ViT,insertion,0,40,0.46573567390441895
ViT,insertion,0,41,0.43305671215057373
ViT,insertion,0,42,0.4456173777580261
ViT,insertion,0,43,0.43392643332481384
ViT,insertion,0,44,0.45322856307029724
ViT,insertion,0,45,0.4853913187980652
ViT,insertion,0,46,0.4893477261066437
ViT,insertion,0,47,0.5325831770896912
ViT,insertion,0,48,0.5866709351539612
ViT,insertion,0,49,0.6309167146682739
ViT,insertion,1,0,0.5785059928894043
ViT,insertion,1,1,0.47364377975463867
ViT,insertion,1,2,0.3789212703704834
ViT,insertion,1,3,0.3471975326538086
ViT,insertion,1,4,0.4689193069934845
ViT,insertion,1,5,0.3431801497936249
ViT,insertion,1,6,0.36239510774612427
ViT,insertion,1,7,0.19870896637439728
ViT,insertion,1,8,0.2182055562734604
